clae2,clae2_desc,letra,letra_desc,,
1,"Agricultura, ganadería, caza y servicios relacionados",A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,
2,Silvicultura y explotación forestal,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,
3,Pesca y acuicultura,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,
5,Extracción de carbón y lignito,B,EXPLOTACION DE MINAS Y CANTERAS,,
6,Extracción de petróleo crudo y gas natural,B,EXPLOTACION DE MINAS Y CANTERAS,,
7,Extracción de minerales metálicos,B,EXPLOTACION DE MINAS Y CANTERAS,,
8,Extracción de otros minerales,B,EXPLOTACION DE MINAS Y CANTERAS,,
9,Actividades de apoyo al petróleo y la minería,B,EXPLOTACION DE MINAS Y CANTERAS,,
10,Elaboración de productos alimenticios,C, INDUSTRIA MANUFACTURERA,,
11,Elaboración de bebidas,C, INDUSTRIA MANUFACTURERA,,
12,Elaboración de productos de tabaco,C, INDUSTRIA MANUFACTURERA,,
13,Elaboración de productos textiles,C, INDUSTRIA MANUFACTURERA,,
14,Elaboración de prendas de vestir,C, INDUSTRIA MANUFACTURERA,,
15,Elaboración de productos de cuero y calzado,C, INDUSTRIA MANUFACTURERA,,
16,Elaboración de productos de madera,C, INDUSTRIA MANUFACTURERA,,
17,Elaboración de productos de papel,C, INDUSTRIA MANUFACTURERA,,
18,Imprentas y editoriales,C, INDUSTRIA MANUFACTURERA,,
19,Fabricación de productos de refinación de petróleo,C, INDUSTRIA MANUFACTURERA,,
20,Fabricación de sustancias químicas,C, INDUSTRIA MANUFACTURERA,,
21,Elaboracion de productos farmacéuticos,C, INDUSTRIA MANUFACTURERA,,
22,Fabricación de productos de caucho y vidrio,C, INDUSTRIA MANUFACTURERA,,
23,Fabricación de productos de vidrio y otros minerales no metálicos,C, INDUSTRIA MANUFACTURERA,,
24,Fabricación de metales comunes,C, INDUSTRIA MANUFACTURERA,,
25,"Fabricación de productos elaborados del metal, excepto maquinaria y equipo",C, INDUSTRIA MANUFACTURERA,,
26,"Fabricación de productos de informática, de electrónica y de óptica",C, INDUSTRIA MANUFACTURERA,,
27,Fabricación de equipo eléctrico,C, INDUSTRIA MANUFACTURERA,,
28,Fabricación de maquinarias,C, INDUSTRIA MANUFACTURERA,,
29,"Fabricación de vehículos automotores, remolques y semirremolques",C, INDUSTRIA MANUFACTURERA,,
30,Fabricación de otros equipos de transporte,C, INDUSTRIA MANUFACTURERA,,
31,Fabricación de muebles,C, INDUSTRIA MANUFACTURERA,,
32,Otras industrias manufactureras,C, INDUSTRIA MANUFACTURERA,,
33,Reparación e instalación de maquinaria y equipo,C, INDUSTRIA MANUFACTURERA,,
35,"Suministro de electricidad, gas, vapor y aire acondicionado",D," SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",,
36,"Captación, tratamiento y distribución de agua",E, SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO
37,Evacuación de aguas residuales,E, SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO
38,"Recogida, tratamiento y eliminación de desechos; recuperación de materiales",E, SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO
39,Descontaminación y otros servicios,E, SUMINISTRO DE AGUA, CLOACAS, GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO
41,Construcción de edificios y partes,F, CONSTRUCCIÓN,,
42,Obras de ingeniería civil,F, CONSTRUCCIÓN,,
43,Actividades especializadas de construcción ,F, CONSTRUCCIÓN,,
45,Comercio al por mayor y al por menor y reparación de vehículos automotores y motos,G, COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
46,Comercio al por mayor excepto autos y motos,G, COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
47,Comercio al por menor excepto autos y motos,G, COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
49,Transporte terrestre y por tuberías,H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO ,,
50,Transporte acuático,H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO ,,
51,Transporte aéreo,H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO ,,
52,Almacenamiento y actividades de apoyo al transporte,H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO ,,
53,Servicio de correo y mensajería,H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO ,,
55,Servicios de alojamiento,I, SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA,,
56,Servicios de expendio de alimentos y bebidas,I, SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA,,
58,Edición,J, INFORMACIÓN Y COMUNICACIONES,,
59,Servicios audiovisuales,J, INFORMACIÓN Y COMUNICACIONES,,
60,Programación y transmisiones de TV y radio,J, INFORMACIÓN Y COMUNICACIONES,,
61,Telecomunicaciones,J, INFORMACIÓN Y COMUNICACIONES,,
62,"Servicios de programación, consultoría informática y actividades conexas",J, INFORMACIÓN Y COMUNICACIONES,,
63,Actividades de procesamiento de información,J, INFORMACIÓN Y COMUNICACIONES,,
64,Servicios financieros (excepto seguros y pensiones),K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS ,,
65,"Servicios de seguros, reaseguros y pensiones",K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS ,,
66,Servicios auxiliares de la actividad financiera y de seguros,K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS ,,
68,Servicios inmobiliarios,L, SERVICIOS INMOBILIARIOS,,
69,Servicios jurídicos y de contabilidad,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
70,Servicios y asesoramiento de dirección y gestión empresarial,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
71,Servicios de arquitectura e ingeniería,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
72,Investigación y desarrollo científico,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
73,Servicios de publicidad e investigación de mercado,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
74,"Otras actividades profesionales, científicas y técnicas",M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
75,Servicios veterinarios,M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",,
77,Alquiler y arrendamiento,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
78,Servicios de obtención y dotación de personal,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
79,"Agencias de viajes, servicios de reservas y actividades conexas",N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
80,Actividades de investigación y seguridad,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
81,Servicios a edificios y actividades de jardinería,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
82,Actividades administrativas y de apoyo a oficinas y empresas,N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO,,
84,"Administración pública, defensa y seguridad social",O," ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",,
85,Enseñanza,P, ENSEÑANZA,,
86,Servicios de salud humana,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
87,Actividades de atención en instituciones,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
88,Actividades de atención sin alojamiento,Q, SALUD HUMANA Y SERVICIOS SOCIALES,,
90,Servicios artísticos y de espectáculos,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
91,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
92,Juegos de azar y apuestas,R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
93,"Actividades deportivas, recreativas y de entretenimiento",R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO",,
94,Servicios de asociaciones,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
95,Reparación de computadoras y equipos de uso doméstico,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
96,Otros servicios personales,S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES ,,
999,Otros sectores,T,OTROS,,
